,Available_Electrophoretic_Studies
81,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=7648&GenusName=Gobius&SpeciesName=cruentatus
82,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=72&GenusName=Gobius&SpeciesName=niger
83,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=73&GenusName=Gobius&SpeciesName=paganellus
84,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=2390&GenusName=Hemichromis&SpeciesName=fasciatus
85,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=2319&GenusName=Heterobranchus&SpeciesName=longifilis
86,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=8902&GenusName=Heterotilapia&SpeciesName=buttikoferi
87,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=2485&GenusName=Heterotilapia&SpeciesName=cessiana
88,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=274&GenusName=Hypophthalmichthys&SpeciesName=molitrix
89,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=275&GenusName=Hypophthalmichthys&SpeciesName=nobilis
90,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=3019&GenusName=Ictalurus&SpeciesName=furcatus
91,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=3020&GenusName=Ictalurus&SpeciesName=lupus
92,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=290&GenusName=Ictalurus&SpeciesName=punctatus
93,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=4322&GenusName=Istigobius&SpeciesName=ornatus
94,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=8557&GenusName=Kareius&SpeciesName=bicoloratus
95,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=14505&GenusName=Knipowitschia&SpeciesName=caucasica
96,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=4589&GenusName=Lateolabrax&SpeciesName=japonicus
97,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=346&GenusName=Lates&SpeciesName=calcarifer
98,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=1846&GenusName=Lethrinus&SpeciesName=nebulosus
99,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=520&GenusName=Limanda&SpeciesName=aspera
100,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=1550&GenusName=Limnothrissa&SpeciesName=miodon
101,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=11322&GenusName=Luciobarbus&SpeciesName=callensis
102,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=162&GenusName=Lutjanus&SpeciesName=malabaricus
103,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=178&GenusName=Lutjanus&SpeciesName=sebae
104,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=2825&GenusName=Lythrurus&SpeciesName=atrapiculus
105,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=2829&GenusName=Lythrurus&SpeciesName=bellus
106,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=2892&GenusName=Lythrurus&SpeciesName=roseipinnis
107,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=2910&GenusName=Lythrurus&SpeciesName=umbratilis
108,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=10312&GenusName=Macquaria&SpeciesName=ambigua
109,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=218&GenusName=Makaira&SpeciesName=mazara
110,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=2392&GenusName=Marcusenius&SpeciesName=senegalensis
111,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=9967&GenusName=Mauligobius&SpeciesName=maderensis
112,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=1828&GenusName=Merluccius&SpeciesName=capensis
113,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=1826&GenusName=Merluccius&SpeciesName=paradoxus
114,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=31&GenusName=Micromesistius&SpeciesName=poutassou
115,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=785&GenusName=Mugil&SpeciesName=cephalus
116,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=1086&GenusName=Mugil&SpeciesName=curema
117,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=13830&GenusName=Mugil&SpeciesName=thoburni
118,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=14701&GenusName=Mugil&SpeciesName=trichodon
119,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=790&GenusName=Mullus&SpeciesName=barbatus+barbatus
120,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=1327&GenusName=Mullus&SpeciesName=surmuletus
121,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=23570&GenusName=Neoclinus&SpeciesName=bryope
122,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=26661&GenusName=Neoclinus&SpeciesName=chihiroe
123,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=23572&GenusName=Neoclinus&SpeciesName=lacunicola
124,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=26673&GenusName=Neoclinus&SpeciesName=nudus
125,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=26660&GenusName=Neoclinus&SpeciesName=okazakii
126,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=23571&GenusName=Neoclinus&SpeciesName=toshimaensis
127,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=12019&GenusName=Neogobius&SpeciesName=melanostomus
128,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=8076&GenusName=Nipponocypris&SpeciesName=temminckii
129,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=4128&GenusName=Oligocottus&SpeciesName=maculosus
130,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=4131&GenusName=Oligocottus&SpeciesName=snyderi
131,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=2688&GenusName=Oncorhynchus&SpeciesName=clarkii
132,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=240&GenusName=Oncorhynchus&SpeciesName=gorbuscha
133,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=241&GenusName=Oncorhynchus&SpeciesName=keta
134,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=239&GenusName=Oncorhynchus&SpeciesName=mykiss
135,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=243&GenusName=Oncorhynchus&SpeciesName=nerka
136,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=244&GenusName=Oncorhynchus&SpeciesName=tshawytscha
137,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=509&GenusName=Ophiodon&SpeciesName=elongatus
138,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=1399&GenusName=Oreochromis&SpeciesName=andersonii
139,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=1387&GenusName=Oreochromis&SpeciesName=aureus
140,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=1422&GenusName=Oreochromis&SpeciesName=jipe
141,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=1396&GenusName=Oreochromis&SpeciesName=macrochir
142,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=3&GenusName=Oreochromis&SpeciesName=mossambicus
143,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=2&GenusName=Oreochromis&SpeciesName=niloticus
144,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=1416&GenusName=Oreochromis&SpeciesName=spilurus
145,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=1420&GenusName=Oreochromis&SpeciesName=urolepis
146,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=4669&GenusName=Oryzias&SpeciesName=latipes
147,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=22635&GenusName=Osmerus&SpeciesName=dentex
148,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=1334&GenusName=Osmerus&SpeciesName=eperlanus
149,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=253&GenusName=Osmerus&SpeciesName=mordax
150,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=4700&GenusName=Osteomugil&SpeciesName=cunnesius
151,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=14249&GenusName=Padogobius&SpeciesName=bonelli
152,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=6345&GenusName=Padogobius&SpeciesName=nigricans
153,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=445&GenusName=Pagrus&SpeciesName=major
154,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=1756&GenusName=Pagrus&SpeciesName=pagrus
155,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=8792&GenusName=Pelmatochromis&SpeciesName=buettikoferi
156,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=8909&GenusName=Pelmatolapia&SpeciesName=cabrae
157,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=2489&GenusName=Pelmatolapia&SpeciesName=mariae
158,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=2530&GenusName=Petromyzon&SpeciesName=marinus
159,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=5365&GenusName=Pharyngochromis&SpeciesName=darlingi
160,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=15287&GenusName=Planiliza&SpeciesName=affinis
161,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=4816&GenusName=Planiliza&SpeciesName=macrolepis
162,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=4819&GenusName=Planiliza&SpeciesName=subviridis
163,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=4249&GenusName=Platichthys&SpeciesName=stellatus
164,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=1342&GenusName=Pleuronectes&SpeciesName=platessa
165,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=3228&GenusName=Poecilia&SpeciesName=reticulata
166,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=174&GenusName=Polyodon&SpeciesName=spathula
167,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=364&GenusName=Pomatomus&SpeciesName=saltatrix
168,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=9188&GenusName=Pomatoschistus&SpeciesName=canestrinii
169,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=9190&GenusName=Pomatoschistus&SpeciesName=lozanoi
170,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=9191&GenusName=Pomatoschistus&SpeciesName=marmoratus
171,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=1344&GenusName=Pomatoschistus&SpeciesName=microps
172,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=1345&GenusName=Pomatoschistus&SpeciesName=minutus
173,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=1346&GenusName=Pomatoschistus&SpeciesName=norvegicus
174,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=1347&GenusName=Pomatoschistus&SpeciesName=pictus
