,Species_for_which_disease_information_is_available
239,https://www.fishbase.de/Diseases/diseasesList.php?ID=12177&StockCode=12503
240,https://www.fishbase.de/Diseases/diseasesList.php?ID=12178&StockCode=12504
241,https://www.fishbase.de/Diseases/diseasesList.php?ID=10923&StockCode=11247
242,https://www.fishbase.de/Diseases/diseasesList.php?ID=10924&StockCode=11248
243,https://www.fishbase.de/Diseases/diseasesList.php?ID=46110&StockCode=38879
244,https://www.fishbase.de/Diseases/diseasesList.php?ID=12184&StockCode=12510
245,https://www.fishbase.de/Diseases/diseasesList.php?ID=12185&StockCode=12511
246,https://www.fishbase.de/Diseases/diseasesList.php?ID=10926&StockCode=11250
247,https://www.fishbase.de/Diseases/diseasesList.php?ID=12193&StockCode=12519
248,https://www.fishbase.de/Diseases/diseasesList.php?ID=12195&StockCode=12521
249,https://www.fishbase.de/Diseases/diseasesList.php?ID=46224&StockCode=38953
250,https://www.fishbase.de/Diseases/diseasesList.php?ID=7&StockCode=9
251,https://www.fishbase.de/Diseases/diseasesList.php?ID=6&StockCode=1884
252,https://www.fishbase.de/Diseases/diseasesList.php?ID=17265&StockCode=15507
253,https://www.fishbase.de/Diseases/diseasesList.php?ID=46840&StockCode=39451
254,https://www.fishbase.de/Diseases/diseasesList.php?ID=52206&StockCode=43471
255,https://www.fishbase.de/Diseases/diseasesList.php?ID=11159&StockCode=11484
256,https://www.fishbase.de/Diseases/diseasesList.php?ID=26756&StockCode=20921
257,https://www.fishbase.de/Diseases/diseasesList.php?ID=6457&StockCode=6779
258,https://www.fishbase.de/Diseases/diseasesList.php?ID=79&StockCode=88
259,https://www.fishbase.de/Diseases/diseasesList.php?ID=10776&StockCode=11099
260,https://www.fishbase.de/Diseases/diseasesList.php?ID=7523&StockCode=7828
261,https://www.fishbase.de/Diseases/diseasesList.php?ID=8238&StockCode=8551
262,https://www.fishbase.de/Diseases/diseasesList.php?ID=406&StockCode=420
263,https://www.fishbase.de/Diseases/diseasesList.php?ID=23442&StockCode=18625
