Activity,Applied stress,Oxygen Consumption at 20°C,Oxygen consumption,Salinity,Temperature,Weight,name
standard,none specified,140.4,54.588235294117645,0.0,10.158823529411764,2.7899999999999996,Lampetra planeri
active,other stress,260.625,542.5,,29.0,25.325,Lates calcarifer
routine*,none specified*,433.0546511627908,442.86046511627904,10.529411764705882,20.813953488372093,58.295697674418584,Leiostomus xanthurus
routine,toxins,401.5875,560.0,0.0,24.0,1.2699999999999998,Lepidocephalichthys guntea
routine,hypoxia*,105.41935483870968,105.41935483870968,0.0,20.0,0.6412903225806451,Lepidogalaxias salamandroides
routine,none specified,157.2,219.66666666666666,0.0,25.0,10.0,Lepomis cyanellus
routine*,none specified,137.1222222222222,141.55555555555554,0.0,18.88888888888889,28.871111111111116,Lepomis gibbosus
standard*,hypoxia*,298.1318181818183,293.212,0.0,20.803599999999992,62.89636000000002,Lepomis macrochirus
standard,none specified*,81.25,208.33333333333334,0.0,30.0,6.1433333333333335,Leporinus fasciatus
routine,none specified,440.0,440.0,0.0,20.0,1.52,Leucaspius delineatus
standard*,none specified*,276.32,163.53333333333333,0.0,14.333333333333334,509.2,Leuciscus idus
routine,none specified,492.4,360.0,0.0,16.5,9.95,Leuciscus leuciscus
routine,none specified,183.0,34.0,35.0,5.0,8.55,Leuroglossus stilbius
standard*,none specified,276.83750000000003,98.875,35.0,10.0,264.75,Limanda limanda
standard,none specified,,73.0,,3.0,47.0,Lindbergichthys nudifrons
standard,none specified,,12.0,,-1.5,47.0,Liparis atlanticus
standard,none specified,,12.0,,-1.5,47.0,Liparis fabricii
routine,none specified,323.6,120.0,35.0,10.0,3.4,Lipolagus ochotensis
standard*,none specified,425.30642201834866,299.9908256880734,25.142857142857142,16.146788990825687,5.890825688073392,Lipophrys pholis
routine,none specified,171.6,74.0,,11.3,213.0,Lota lota
standard,none specified,136.68571428571428,86.57142857142857,,15.0,9.514285714285714,Lumpenus lampretaeformis
active*,none specified,203.91111111111113,190.0,34.44444444444444,18.75,345.22222222222223,Lutjanus campechanus
standard,none specified,,12.0,,0.0,47.0,Lycodes eudipleurostictus
standard,none specified,,18.0,,-1.5,47.0,Lycodes mucosus
standard,none specified,,9.0,,0.0,47.0,Lycodes pallidus
standard,none specified,,25.0,,0.0,47.0,Lycodes reticulatus
standard,none specified,,15.0,,0.0,47.0,Lycodes seminudus
standard,none specified,,18.0,,-1.5,47.0,Lycodes turneri
routine*,none specified*,,17.0625,35.0,-1.4625,30.57125,Lycodichthys dearborni
active,other stress,191.2,121.0,,15.0,1810.0,Maccullochella peelii
standard*,none specified,58.0341463414634,96.06976744186046,0.0,26.11162790697675,35.9453488372093,Macrognathus aculeatus
routine,none specified,118.80000000000001,35.5,35.0,7.5,20.049999999999997,Melamphaes acanthomus
routine,,,23.0,,2.5,50.55,Melanocetus johnsonii
routine,hypoxia,124.6,188.5,0.0,25.0,11.325,Melanochromis auratus
standard*,none specified,454.3333333333333,168.5,35.0,10.0,155.9166666666667,Melanogrammus aeglefinus
routine,none specified,129.6,24.0,35.0,5.0,31.5,Melanonus zugmayeri
routine,,,30.0,,0.3,47.2,Melanostigma gelatinosum
routine,other stress,113.85000000000001,27.0,36.0,6.25,10.0,Melanostigma pammelas
active,other stress,575.2,869.0,,25.0,274.0,Micropogonias undulatus
active,other stress,376.9,390.0,,20.4,516.0,Micropterus dolomieu
standard*,temperature*,236.5597222222222,264.7261904761905,0.0,24.964285714285715,126.92678571428567,Micropterus salmoides
standard*,none specified,264.1166666666667,90.83333333333333,35.0,10.0,233.0,Microstomus kitt
routine,none specified,146.6,123.0,0.0,18.0,28.5,Misgurnus fossilis
standard,none specified,158.15,239.1,0.0,25.0,63.82299999999999,Monopterus cuchia
