name,predators
Lesueurigobius friesii,"['Trachurus mediterraneus', 'Trisopterus luscus', 'Trisopterus minutus', 'Merluccius merluccius', 'Ophichthus rufus', 'Lepidorhombus boscii', 'Lepidorhombus whiffiagonis', 'Scorpaena porcus', 'Chelidonichthys lucernus', 'Gnathophis mystax']"
Lethenteron camtschaticum,"['Gadus morhua', 'Stenodus leucichthys', 'Esox lucius', 'gulls', 'Lota lota', 'Sander vitreus']"
Lethenteron kessleri,"['Larus canus', 'Acipenser baeri', 'Hucho taimen', 'Esox lucius', 'Lota lota', 'Perca fluviatilis', 'Stenodus leucichthys']"
Leucaspius delineatus,"['Leucaspius delineatus', 'Anguilla anguilla', 'Aspius aspius', 'Cyprinus carpio', 'Tinca tinca', 'Lota lota', 'Perca fluviatilis', 'Sander lucioperca', 'Oncorhynchus mykiss', 'Salmo trutta fario', 'Salvelinus fontinalis', 'Leucaspius delineatus', 'Dytiscus', 'Esox lucius', 'Gymnocephalus cernua', 'Critopus silvestris', 'Lestes']"
Leuciscus idus,['Esox lucius']
Leuciscus leuciscus,"['Haliaeetus albicilla', 'Pandion haliaetus', 'Ardea cinerea', 'Phalacrocorax carbo', 'Buteo buteo', 'Circus aeruginosus', 'Milvus', 'Leuciscus cephalus', 'Esox lucius', 'Larus', 'Lota lota', 'Perca fluviatilis', 'Podiceps', 'Lutra lutra', 'Oncorhynchus mykiss', 'Salmo trutta fario', 'Strix aluco', 'Alcedo atthis']"
Leucoraja erinacea,['Carcharhinus plumbeus']
Leuroglossus schmidti,"['Gadus macrocephalus', 'Pleurogrammus monopterygius', 'Atheresthes evermanni', 'Reinhardtius hippoglossoides', 'Bathyraja maculata', 'Bathyraja parmifera', 'Ammodytes hexapterus', 'Careproctus cyclocephalus', 'Thaleichthys pacificus', 'Oncorhynchus tshawytscha', 'unidentified']"
Leuroglossus stilbius,"['Lagenorhynchus obscurus', 'Reinhardtius hippoglossoides', 'Thunnus alalunga']"
Lichia amia,['Lichia amia']
Limanda aspera,"['Myoxocephalus jaok', 'Myoxocephalus polyacanthocephalus', 'Gadus macrocephalus', 'Hemitripterus bolini', 'Hemitripterus villosus', 'Hippoglossus stenolepis', 'Reinhardtius stomias']"
Limanda ferruginea,"['Carcharhinus plumbeus', 'Morus bassanus']"
Limanda limanda,"['Conger conger', 'Myoxocephalus scorpius', 'Tursiops truncatus', 'Gadus morhua', 'Merlangius merlangus', 'Trisopterus minutus', 'Pomatoschistus minutus', 'Lophius piscatorius', 'Halichoerus grypus', 'Phoca groenlandica', 'Phoca vitulina', 'Platichthys flesus', 'Pleuronectes platessus', 'Amblyraja radiata', 'Squalus acanthias', 'Chelidonichthys gurnardus']"
Limanda proboscidea,['Hemitripterus villosus']
Limanda sakhalinensis,"['Myoxocephalus jaok', 'Myoxocephalus polyacanthocephalus', 'Gadus macrocephalus']"
Limnothrissa miodon,"['Hydrocynus forskalii', 'Anguilla bengalensis labiata', 'Lates niloticus', 'Lates stappersii', 'Chlidonias leucoptera', 'Larus cirrocephalus', 'Synodontis zambesensis', 'Schilbe mystus', 'Hydrocynus vittatus']"
Limnotilapia dardennii,"['Perissodus microlepis', 'Plecodus straeleni']"
Lindbergichthys mizops,"['Pygoscelis papua', 'Channichthys rhinoceratus', 'Dissostichus eleginoides']"
Lindbergichthys nudifrons,['Phalacrocorax atriceps']
Liopsetta pinnifasciata,"['Megalocottus platycephalus', 'Platichthys stellatus']"
Liparis atlanticus,['Hemitripterus americanus']
Liparis gibbus,['Raja radiata']
Liparis liparis,['Hemitripterus americanus']
Lipolagus ochotensis,['Pleurogrammus monopterygius']
Lipophrys pholis,['Serranus atricauda']
Lipophrys trigloides,['Serranus atricauda']
Lithognathus lithognathus,"['Lichia amia', 'Argyrosomus hololepidotus', 'Galeichthys feliceps']"
Lithognathus mormyrus,"['Carcharhinus obscurus', 'Epinephelus marginatus', 'Sphyrna zygaena', 'Triakis megalopterus', 'Seriola dumerili']"
Lobianchia dofleini,"['Himantolophus paucifilosus', 'Caelorinchus fasciatus', 'Pagellus bogaraveo']"
Lobochilotes labiatus,"['Perissodus microlepis', 'Plecodus straeleni']"
Lonchopisthus micrognathus,"['Anous stolidus', 'Sterna fuscata']"
Lophiodes beroe,['Hyperoglyphe perciformis']
Lophiomus setigerus,['Makaira mazara']
Lophius americanus,"['Carcharhinus plumbeus', 'Galeocerdo cuvier', 'Prionace glauca', 'Xiphias gladius']"
Lophius gastrophysus,['Hexanchus griseus']
Lophius litulon,['Lophius litulon']
Lophius piscatorius,"['Conger conger', 'Gadus morhua', 'Lophius piscatorius']"
Lophius vomerinus,"['Raja pullopunctata', 'Chelidonichthys queketti']"
Lopholatilus chamaeleonticeps,['Lophius americanus']
Loricariichthys maculatus,['Paratrygon aiereba']
Lota lota,"['Petromyzon marinus', 'Esox lucius', 'unidentified', 'Lutra lutra', 'Perca flavescens']"
Lucania parva,['Sphyraena barracuda']
Lucigadus nigromaculatus,"['Cyttus traversi', 'Macruronus novaezelandiae', 'Helicolenus percoides']"
Lucigadus ori,['Latimeria chalumnae']
Luciobarbus brachycephalus,['Silurus glanis']
Luciobarbus longiceps,['Barbus longiceps']
Luciosudis normani,['Dissostichus eleginoides']
Lumpenella longirostris,['Atheresthes evermanni']
Lumpenus fabricii,"['Platichthys stellatus', 'Gadus macrocephalus', 'Gadus ogac', 'Theragra chalcogramma']"
Lumpenus lampretaeformis,"['Mergus merganser', 'Gadus morhua', 'Lophius americanus', 'Lophius piscatorius', 'Phoca vitulina', 'Hippoglossoides platessoides', 'Raja radiata']"
Lumpenus sagitta,"['Leptocottus armatus', 'Gadus macrocephalus', 'Hemitripterus villosus', 'Hippoglossus stenolepis']"
Lutjanus griseus,"['Gymnothorax moringa', 'Gymnothorax funebris', 'Sphyraena barracuda']"
Lycenchelys sarsii,['Molva dipterygia']
Lycodes beringi,['Reinhardtius hippoglossoides']
Lycodes brevipes,"['Gadus macrocephalus', 'Atheresthes evermanni', 'Hippoglossus stenolepis', 'Reinhardtius hippoglossoides', 'Reinhardtius stomias']"
Lycodes brunneofasciatus,['Atheresthes evermanni']
Lycodes caudimaculatus,['Synagrops japonicus']
Lycodes concolor,['Atheresthes evermanni']
Lycodes cortezianus,['Zalophus californianus']
Lycodes pacificus,"['Anoplopoma fimbria', 'rockfishes']"
Lycodes palearis,"['Gadus macrocephalus', 'Phoca vitulina', 'Hippoglossus stenolepis', 'Reinhardtius hippoglossoides']"
Lycodes vahlii,"['Brosme brosme', 'Molva molva', 'Merluccius merluccius', 'Hippoglossus hippoglossus', 'Reinhardtius hippoglossoides', 'Raja radiata']"
Lyopsetta exilis,"['Prionace glauca', 'Merluccius productus', 'Zalophus californianus', 'Phoca vitulina']"
Maccullochella peelii,"['Perca fluviatilis', 'Phalacrocorax sp.']"
Macquaria ambigua,"['Phalacrocorax sp.', 'Maccullochella peelii peelii', 'Perca fluviatilis']"
Macquaria australasica,['trouts']
Macrodon ancylodon,"['Carcharhinus porosus', 'Pontoporia blainvillei', 'Cynoscion guatucupa', 'Pomatomus saltatrix']"
Macrognathus aculeatus,['Siniperca chuatsi']
Macroparalepis affinis,"['Acanthocybium solandri', 'Thunnus alalunga']"
Macroramphosus scolopax,"['Seriola rivoliana', 'Conger conger', 'Lophius gastrophysus', 'Merluccius merluccius', 'Phycis phycis', 'Raja clavata', 'Scomber scombrus', 'Galeus nipponensis', 'Pagellus acarne', 'Pagellus bogaraveo', 'Synaphobranchus kaupii', 'Galeorhinus galeus', 'Lepidopus caudatus', 'Zeus faber']"
Macruronus magellanicus,"['Cottoperca gobio', 'Merluccius australis', 'Salilota australis', 'Thalassarche melanophrys', 'Bathyraja brachyurops', 'Bathyraja griseocauda', 'Dipturus chilensis', 'Squalus acanthias']"
Macruronus novaezelandiae,"['Macruronus novaezelandiae', 'Genypterus blacodes', 'Cyttus traversi', 'Helicolenus percoides']"
Magnisudis atlantica,"['Thunnus alalunga', 'Thunnus albacares', 'Xiphias gladius']"
Magnisudis prionosa,"['Diomedea chrysostoma', 'Diomedea melanophris', 'Arctocephalus gazella', 'Arctocephalus tropicalis']"
Makaira mazara,"['unidentified', 'Orcinus orca']"
Malacanthus plumieri,['Lutjanus analis']
Malacocephalus laevis,['Merluccius capensis']
Malacocottus kincaidi,['Hippoglossus stenolepis']
Malacocottus zonurus,"['Anoplopoma fimbria', 'Polypera simushirae', 'Atheresthes evermanni', 'Bathyraja aleutica', 'Bathyraja maculata', 'Bathyraja matsubarai', 'Careproctus cyclocephalus']"
Malacoctenus gilli,['Aulostomus maculatus']
Malacoctenus macropus,['Antennarius multiocellatus']
Malapterurus electricus,['Plecodus straeleni']
Mallotus villosus,"['Sebastes fasciatus', 'Sebastes mentella', 'Fratercula arctica', 'Fratercula cirrhata', 'Fratercula corniculata', 'Mergus merganser', 'Gymnocanthus detrisus', 'Phocoena phocoena', 'Gadus macrocephalus', 'Gadus morhua', 'Gadus ogac', 'Pollachius virens', 'Phoca groenlandica', 'Atheresthes evermanni', 'Hippoglossoides platessoides', 'Reinhardtius hippoglossoides', 'Fulmarus glacialis', 'Raja radiata', 'Rajella fyllae', 'Oncorhynchus kisutch', 'Spring salmon', 'Morus bassanus', 'unidentified fin whales', 'unidentified humpback whales', 'Lycodes eudipleurostictus', 'Lycodes seminudus', 'Lycodes vahlii', 'Oncorhynchus keta', 'Uria lomvia', 'Gadus morhua', 'Clupea harengus']"
Mangarinus waterousi,['Eleotris acanthopoma']
Marcusenius macrolepidotus,['Schilbe mystus']
Mastacembelus armatus,['Channa punctata']
Mastacembelus frenatus,['Bagrus docmak']
Mastacembelus moorii,['Plecodus straeleni']
Maurolicus japonicus,['Champsodon snyderi']
Maurolicus muelleri,"['Argentina silus', 'Beryx splendens', 'Brama brama', 'Trachurus declivis', 'Trachurus mediterraneus', 'Hyperoglyphe japonica', 'Clupea harengus', 'Cyttus traversi', 'Gadiculus argenteus thori', 'Merlangius merlangus', 'Pollachius pollachius', 'Pollachius virens', 'Caelorinchus fasciatus', 'Coryphaenoides rupestris', 'Macruronus novaezelandiae', 'Merluccius albidus', 'Illex argentinus', 'Allocyttus verrucosus', 'Arctocephalus pusillus pusillus', 'Raja leopardus', 'Scomber australasicus', 'Thunnus albacares', 'Helicolenus dactylopterus', 'Helicolenus percoides', 'Squalus acanthias', 'Squalus mitsukurii', 'Lepidopus caudatus', 'Trichiurus lepturus', 'Zenopsis conchifera', 'Zenopsis nebulosus', 'Merluccius capensis', 'Merluccius paradoxus', 'Apogonops anomalus', 'Thunnus thynnus', 'Merluccius merluccius', 'Thunnus alalunga']"
Maurolicus stehmanni,"['Beryx splendens', 'Lophius gastrophysus', 'Caelorinchus marinii', 'Polymixia lowei', 'Helicolenus lahillei', 'Trichiurus lepturus', 'Zenopsis conchifera']"
Mayaheros urophthalmus,['Noctilio leporinus']
Mchenga eucinostomus,"['Trematocranus labifer', 'Bagrus meridionalis', 'Dimidiochromis kiwinge', 'Hemitilapia oxyrhyncha', 'Clarias', 'Phalacrocorax carbo']"
Medialuna californiensis,['Zalophus californianus']
Megalaspis cordyla,"['Carcharhinus tilstoni', 'Otolithes cuvieri']"
Megalocottus platycephalus,"['Platichthys stellatus', 'Osmerus mordax dentex']"
Megalops cyprinoides,['Acrochordus arafurae']
Melamphaes lugubris,['Thunnus alalunga']
Melamphaes simus,['Pterodroma incerta']
Melanocetus johnsonii,['Alepisaurus ferox']
Melanogrammus aeglefinus,"['Petromyzon marinus', 'Mergus merganser', 'Balaenoptera acutorostrata', 'Conger conger', 'Tursiops truncatus', 'Gadus morhua', 'Melanogrammus aeglefinus', 'Merlangius merlangus', 'Pollachius virens', 'Lophius americanus', 'Lophius piscatorius', 'Myxine glutinosa', 'Halichoerus grypus', 'Phoca groenlandica', 'Phoca vitulina', 'Urophycis chuss', 'Pomatomus saltatrix', 'Fulmarus glacialis', 'Amblyraja radiata', 'Thunnus albacares', 'Squalus acanthias', 'Chelidonichthys gurnardus', 'Xiphias gladius', 'Hippoglossoides platessoides']"
Melanonus gracilis,['Thalassarche chrysostoma']
Melanonus zugmayeri,['Himantolophus paucifilosus']
Melanostomias bartonbeani,['Deania calcea']
Melanotaenia nigrans,['Thryssa scratchleyi']
Melanotaenia splendida,"['Lates calcarifer', 'Lutjanus argentimaculatus', 'not stated']"
Membras martinica,"['Morone saxatilis', 'Sphyraena barracuda']"
Mendosoma lineatum,"['Thyrsites atun', 'unidentified']"
Mene maculata,"['Carcharhinus sorrah', 'Auxis rochei', 'Auxis thazard']"
Menidia beryllina,"['Lobotes surinamensis', 'Synodus foetens']"
Menidia extensa,"['Lepomis gulosus', 'Micropterus salmoides', 'Esox americanus americanus', 'Esox niger', 'Morone americana', 'Perca flavescens']"
Menidia menidia,"['Morone saxatilis', 'Pomatomus saltatrix', 'Cynoscion regalis', 'Mustelus canis', 'Pomatomus saltatrix']"
Menticirrhus americanus,['Carcharhinus porosus']
Merlangius merlangus,"['Raja microocellata', 'Acipenser gueldenstaedtii', 'Acipenser stellatus', 'Conger conger', 'Tursiops truncatus', 'Melanogrammus aeglefinus', 'Merlangius merlangus', 'Pollachius virens', 'Lophius piscatorius', 'Merluccius merluccius', 'Halichoerus grypus', 'Phoca groenlandica', 'Phoca vitulina', 'Amblyraja radiata', 'Leucoraja naevus', 'Raja clavata', 'Squalus acanthias', 'Chelidonichthys gurnardus', 'Obelia sp.', 'Gadus morhua']"
Merluccius albidus,['Merluccius albidus']
Merluccius australis,['Merluccius australis']
Merluccius bilinearis,"['Carcharhinus plumbeus', 'Alosa sapidissima', 'Gadus morhua', 'Pollachius virens', 'Hemitripterus americanus', 'Isurus oxyrinchus', 'Lophius americanus', 'Merluccius albidus', 'Merluccius bilinearis', 'Urophycis chuss', 'Urophycis tenuis', 'Hippoglossus hippoglossus', 'Pomatomus saltatrix', 'Raja ocellata', 'Thunnus thynnus', 'Sebastes fasciatus', 'Squalus acanthias', 'Squatina dumeril', 'Torpedo nobiliana', 'Xiphias gladius']"
Merluccius capensis,"['Merluccius paradoxus', 'Atractoscion aequidens', 'Sphyrna zygaena', 'Cynoglossus zanzibarensis', 'Chelidonichthys capensis', 'Carcharhinus brachyurus', 'Thyrsites atun', 'Lophius vomerinus', 'Genypterus capensis', 'Arctocephalu pusillus pusillus', 'Arctocephalus pusillus pusillus', 'Raja alba', 'Raja clavata', 'Raja doutrei', 'Raja leopardus', 'Rajella barnardi', 'Helicolenus dactylopterus', 'Chelidonichthys capensis', 'unidentified', 'Merluccius capensis']"
Merluccius gayi+gayi,"['Lagenorhynchus obscurus', 'Dissostichus eleginoides']"
Merluccius gayi+peruanus,['Merluccius gayi peruanus']
Merluccius hubbsi,"['Lagenorhynchus obscurus', 'Lophius gastrophysus', 'Merluccius hubbsi', 'Salilota australis', 'Illex argentinus', 'Polyprion americanus', 'Cynoscion guatucupa', 'Squatina guggenheim', 'Zenopsis conchifera', 'Dipturus chilensis']"
Merluccius merluccius,"['Seriola dumerili', 'Trachurus mediterraneus', 'Tursiops truncatus', 'Gadus morhua', 'Merlangius merlangus', 'Pollachius virens', 'Merluccius merluccius', 'Ophichthus rufus', 'Leucoraja naevus', 'Raja clavata', 'Raja montagui', 'Scorpaena scrofa', 'Diplodus sargus sargus', 'Squalus acanthias', 'Uranoscopus scaber', 'Xiphias gladius', 'Gnathophis mystax']"
Merluccius paradoxus,"['Merluccius capensis', 'Chelidonichthys capensis', 'Malacocephalus laevis', 'Merluccius paradoxus', 'Arctocephalus pusillus pusillus', 'Raja alba', 'Raja clavata', 'Raja doutrei', 'Raja leopardus', 'Raja pullopunctata', 'Rajella barnardi', 'Centrophorus squamosus', 'Arctocephalus pusillus pusillus', 'Helicolenus dactylopterus']"
Merluccius productus,"['Prionace glauca', 'Tetrapturus audax', 'Zalophus californianus', 'Phoca vitulina', 'Sarda chiliensis chiliensis', 'Thunnus alalunga', 'Thunnus thynnus thynnus', 'Sebastes entomelas', 'unidentified', 'Xiphias gladius', 'Makaira mazara']"
Mesoheros ornatus,['unidentified blue herons']
Metelectrona ventralis,"['Champsocephalus gunnari', 'Dissostichus eleginoides', 'Arctocephalus gazella', 'Arctocephalus tropicalis', 'Aptenodytes patagonicus']"
Meuschenia scaber,['Zeus faber']
Micralestes acutidens,['Hydrocynus forskahlii']
Microchirus variegatus,['Merluccius merluccius']
Microgadus proximus,"['Merluccius productus', 'Phoca vitulina', 'Thunnus alalunga']"
Microgadus tomcod,"['Morone saxatilis', 'Pomatomus saltator']"
Microgobius carri,"['Anous stolidus', 'Sterna fuscata']"
Microgobius gulosus,['Sphyraena barracuda']
Microlepidotus inornatus,['Makaira mazara']
Micromesistius australis,"['Cottoperca gobio', 'Lampris immaculatus', 'Merluccius australis', 'Salilota australis', 'Genypterus blacodes', 'Bathyraja brachyurops', 'Bathyraja griseocauda']"
Micromesistius poutassou,"['Balaenoptera acutorostrata', 'Trachurus trachurus', 'Conger conger', 'Coryphaena hippurus', 'Gadus morhua', 'Micromesistius poutassou', 'Pollachius virens', 'Brosme brosme', 'Molva dipterygia', 'Molva molva', 'Coryphaenoides armatus', 'Merluccius merluccius', 'Antimora rostrata', 'Phoca groenlandica', 'Reinhardtius hippoglossoides', 'Scomber scombrus', 'Scyliorhinus canalicula', 'Squalus acanthias', 'Histiobranchus bathybius', 'Aphanopus carbo', 'Chelidonichthys gurnardus', 'Uranoscopus scaber', 'Xiphias gladius', 'Zeus faber', 'Lycodes frigidus']"
Micropogonias furnieri,"['Cynoscion striatus', 'Stenella frontalis', 'Cynoscion virescens']"
Micropogonias undulatus,"['Morone saxatilis', 'Pomatomus saltator', 'Cynoscion regalis']"
Micropterus dolomieu,"['Ambloplites rupestris', 'Amia calva', 'Micropterus dolomieu', 'Dolomedes sp.', 'unidentified suckers', 'unidentified sunfishes', 'Perca flavescens', 'unidentified catfishes']"
Micropterus salmoides,"['Ichthyomyzon castaneus', 'Micropterus salmoides', 'Ptychocheilus oregonensis', 'Esox lucius', 'Esox masquinongy', 'Perca flavescens', 'Sander vitreus', 'Argyrosomus hololepidotus']"
Microspathodon chrysurus,['Epinephelus striatus']
Microspathodon dorsalis,['Holacanthus passer']
Microstoma microstoma,['Xiphias gladius']
Microstomus kitt,"['Gadus morhua', 'Merlangius merlangus', 'Lophius piscatorius', 'Phoca vitulina']"
Microstomus pacificus,"['Somniosus pacificus', 'Zalophus californianus', 'Phoca vitulina', 'Hippoglossus stenolepis']"
Misgurnus fossilis,['Lutra lutra']
Mistichthys luzonensis,"['Channa striata', 'Oreochromis mossambicus', 'Oreochromis niloticus niloticus', 'Clarias macrocephalus', 'Hemiramphus cotnog']"
Mitotichthys semistriatus,['Platycephalus laevigatus']
Mobula birostris,"['sharks', 'Orcinus orca']"
Mola mola,"['Prionace glauca', 'Orcinus orca', 'Thunnus thynnus thynnus', 'Thunnus albacares']"
Molva dypterygia,['Helicolenus dactylopterus dactylopterus']
Molva molva,"['Tursiops truncatus', 'Phoca groenlandica', 'Phoca vitulina']"
Monacanthus chinensis,['Sillago analis']
Monacanthus ciliatus,"['Coryphaena hippurus', 'Thunnus albacares']"
Monacanthus tuckeri,"['Coryphaena hippurus', 'Cephalopholis fulva']"
Monodactylus falciformis,"['Galeichthys feliceps', 'Lichia amia', 'Elops machnata', 'Argyrosomus hololepidotus']"
Monolene antillarum,['Polymixia lowei']
Monomitopus agassizii,['Merluccius albidus']
Mora moro,['Galeus melastomus']
Mormyrus kannume,['Phalacrocorax carbo']
Morone americana,"['Morone americana', 'Morone saxatilis', 'Stizostedion vitreum', 'Pomatomus saltator', 'Cynoscion regalis', 'Lepomis macrochirus', 'Cyclops bicuspidatus', 'Pomatomus saltator']"
Morone chrysops,"['Morone americana', 'Morone chrysops']"
Morone saxatilis,"['Petromyzon marinus', 'Cyclops bicuspidatus', 'unidentified tomcods and cods', 'Merluccius bilinearis', 'Morone saxatilis', 'Pomatomus saltator']"
Mugil cephalus,"['Haliaeetus vocifer', 'Eulamia falciformis', 'Eulamia floridanus', 'Crocodylus niloticus', 'unidentified', 'Pelecanus onocrotalus', 'Phalacrocorax sulcirostris', 'Argyrosomus hololepidotus', 'unidentified', 'Anguilla sp.', 'Micropterus salmoides', 'Arctocephalus pusillus pusillus', 'Pelecanus conspicillatus', 'Phalacrocorax sp.', 'unidentified', 'Pomatomus saltatrix', 'Lichia amia']"
Mugil curema,['Morone saxatilis']
Mugil incilis,"['Elops saurus', 'Carcharhinus porosus']"
Mugil trichodon,['Sphyraena barracuda']
Mulloidichthys flavolineatus,['Gymnothorax flavimarginatus']
Mulloidichthys martinicus,"['Coryphaena hippurus', 'Euthynnus alletteratus', 'Epinephelus guttatus']"
Mullus argentinae,"['Lophius gastrophysus', 'Pomatomus saltatrix']"
Mullus barbatus+barbatus,"['Merluccius merluccius', 'Sarda sarda', 'Serranus cabrilla', 'Saurida undosquamis', 'Pagrus pagrus']"
Mullus surmuletus,"['Seriola rivoliana', 'Raja clavata', 'Scorpaena porcus', 'Serranus atricauda', 'Serranus cabrilla', 'Synodus saurus', 'Uranoscopus scaber', 'Epinephelus marginatus']"
Muraenesox bagio,['Crocodylus  nilotus']
Muraenolepis marmorata,['Diomedea melanophrys']
Muraenolepis microps,"['Parachaenichthys georgianus', 'Chaenocephalus aceratus', 'Champsocephalus gunnari', 'Pseudochaenichthys georgianus', 'Diomedea chrysostoma', 'Muraenolepis microps', 'Notothenia rossii', 'Patagonotothen brevicauda', 'Trematomus hansoni', 'Arctocephalus gazella']"
Mustelus canis,"['Carcharhinus plumbeus', 'Carcharodon carcharias']"
Mustelus henlei,"['Notorynchus cepedianus', 'Sebastes entomelas']"
Mycteroperca jordani,['Sebastes entomelas']
Myctophum affine,"['Caelorinchus smithi', 'Astronesthes similus']"
Myctophum asperum,"['Lagenodelphis hosei', 'Stenella attenuata', 'Stenella longirostris']"
Myctophum aurolaternatum,"['Stenella attenuata', 'Stenella longirostris']"
Myctophum brachygnathum,"['Lagenodelphis hosei', 'Stenella longirostris']"
Myctophum nitidulum,"['Lagenodelphis hosei', 'Stenella attenuata', 'Stenella longirostris', 'Sphyraena pinguis']"
Myctophum phengodes,['Stenella longirostris']
Myctophum punctatum,"['Sebastes fasciatus', 'Sebastes mentella', 'Beryx splendens', 'Phycis phycis']"
Myctophum spinosum,['Stenella attenuata']
Myliobatis californica,['Notorynchus cepedianus']
Mylocheilus caurinus,"['Mergus merganser americanus', 'Micropterus salmoides', 'Ptychocheilus oregonensis', 'Sander vitreus', 'Phoca vitulina']"
Myoxocephalus octodecemspinosus,"['Seriola dumerili', 'Lophius americanus', 'Hippoglossus hippoglossus', 'Pomatomus saltatrix', 'Raja erinacea']"
Myoxocephalus scorpius,"['Mergus merganser', 'Tursiops truncatus', 'Gadus morhua', 'Phalacrocorax aristotelis', 'Phoca vitulina', 'Raja eglanteria']"
Myoxocephalus thompsonii,"['Lota lota', 'Salvelinus namaycush']"
Myripristis jacobus,"['Aulostomus maculatus', 'Caranx latus', 'Epinephelus striatus']"
Myrophis punctatus,"['Lobotes surinamensis', 'Thunnus thynnus thynnus']"
Mystus gulio,['Channa punctata']
Myxine capensis,['Octopus magnificus']
Myxine glutinosa,"['Gadus morhua', 'Brosme brosme', 'Phocoena phocoena', 'Gadus morhua', 'Urophycis tenuis']"
Myxodes viridis,['Pinguipes chilensis']
Nannobrachium achirus,"['Eudyptes chrysolophus', 'Dissostichus eleginoides']"
Nannobrachium atrum,"['Beryx decadactylus', 'Beryx splendens', 'Lagenodelphis hosei', 'Stenella longirostris']"
Nannobrachium idostigma,"['Stenella attenuata', 'Stenella longirostris']"
Nannobrachium ritteri,"['Thunnus alalunga', 'Sebastes entomelas']"
Nannocharax fasciatus,"['Lates niloticus', 'Schilbe mystus']"
Nannoperca vittata,['Perca fluviatilis']
Nansenia antarctica,['Diomedea chrysostoma']
Narke japonica,['Cephaloscyllium umbratile']
Naso brevirostris,['Thunnus obesus']
Naso hexacanthus,['Aprion virescens']
Naso unicornis,['Caranx melampygus']
Naucrates ductor,['Coryphaena hippurus']
Nealotus tripes,"['Coryphaena hippurus', 'Thunnus alalunga', 'Alepisaurus ferox', 'Thunnus albacares', 'Thunnus obesus']"
Negaprion brevirostris,['Negaprion brevirostris']
Nemadactylus bergi,"['Genypterus blacodes', 'Polyprion americanus', 'Raja agassizi', 'Raja castelnui', 'Raja flavirostris', 'Squatina argentina', 'Galeorhinus vitaminicus', 'Phalacrocorax atriceps']"
Nematalosa erebi,"['Milvus migrans', 'Arius sp.', 'Lates calcarifer', 'Pelecanus conspicillatus', 'Maccullochella peelii', 'Macquaria ambigua', 'Perca fluviatilis', 'Phalacrocorax sp.', 'Argyrosomus hololepidotus', 'Haliastur sphenurus']"
Nematalosa japonica,"['Auxis rochei', 'Auxis thazard']"
Nemichthys scolopaceus,"['Beryx splendens', 'Allocyttus verrucosus', 'Synagrops japonicus']"
Nemipterus bipunctatus,['Trichiurus lepturus']
Nemipterus japonicus,"['Otolithes cuvieri', 'Trichiurus lepturus']"
Nemipterus mesoprion,['Otolithes cuvieri']
Neoarius leptaspis,"['Acrochordus arafurae', 'Scleropages jardinii', 'Lates calcarifer']"
Neoepinnula orientalis,"['Thunnus albacares', 'Thunnus obesus']"
Neogobius fluviatilis,"['Acipenser gueldenstaedtii', 'Acipenser nudiventris', 'Huso huso', 'Sander lucioperca', 'Aspius aspius', 'Perca fluviatilis', 'Sander lucioperca', 'Silurus glanis']"
Neogobius melanostomus,"['Acipenser gueldenstaedtii', 'Huso huso', 'Phalacrocorax', 'Sander lucioperca']"
Neogobius pallasi,['Sander lucioperca']
Neolamprologus brichardi,"['Perissodus microlepis', 'Plecodus straeleni']"
Neolamprologus furcifer,['Plecodus straeleni']
Neolamprologus leleupi,['Perissodus microlepis']
Neolamprologus modestus,['Perissodus microlepis']
Neolamprologus mondabu,['Plecodus straeleni']
Neolamprologus niger,['Plecodus straeleni']
Neolamprologus savoryi,['Plecodus straeleni']
Neolamprologus toae,"['Perissodus microlepis', 'Plecodus straeleni']"
Neolamprologus tretocephalus,['Plecodus straeleni']
Neoniphon sammara,"['Caranx melampygus', 'Epinephelus merra']"
Neopagetopsis ionah,['Gymnoscopelus nicholsi']
Neopomacentrus azysron,['Synodus englemani']
Neoscopelus macrolepidotus,['Merluccius albidus']
Neoscorpis lithophilus,['Carcharhinus limbatus']
Neosilurus ater,"['Scleropages jardinii', 'Lates calcarifer']"
Neosilurus hyrtlii,['Acrochordus arafurae']
Neotrygon kuhlii,['Orcinus orca']
Nesiarchus nasutus,"['Lagenodelphis hosei', 'Merluccius albidus', 'Thunnus albacares']"
Nettastoma melanura,['Merluccius merluccius']
Nezumia aequalis,"['Merluccius capensis', 'Merluccius paradoxus', 'Merluccius albidus']"
Nezumia bairdii,['Xiphias gladius']
Nibea albiflora,['Paralichthys olivaceus']
Nomeus gronovii,['Sterna fuscata']
Normanichthys crockeri,"['Trachurus symmetricus', 'Merluccius gayi gayi', 'Merluccius gayi peruanus', 'Pinguipes chilensis', 'Normanichthys crockeri']"
Notacanthus sexspinis,['Helicolenus percoides']
Notemigonus crysoleucas,"['Micropterus salmoides', 'Morone saxatilis', 'Dolomedes tenebrosus']"
Notolabrus celidotus,['Zeus faber']
Notolepis coatsi,"['Anotopterus vorax', 'Gymnodraco acuticeps']"
Notolychnus valdiviae,['Astronesthes similus']
Notophycis marginata,"['Mancopsetta maculata maculata', 'Neoachiropsetta milfordi', 'Cyttus traversi', 'Micromesistius australis', 'Genypterus blacodes', 'Helicolenus percoides', 'Macruronus novaezelandiae']"
Notorynchus cepedianus,['Notorynchus cepedianus']
Notoscopelus bolini,['Beryx splendens']
Notoscopelus elongatus,['Dalatias licha']
Notoscopelus japonicus,['fur seal']
