name,predators
Atherina boyeri,"['Trachurus trachurus', 'Alosa brashnikovi', 'Alosa fallax', 'Dicentrarchus labrax', 'Sander lucioperca', 'Silurus glanis', 'Uranoscopus scaber']"
Atherina breviceps,"['Carcharhinus brachyurus', 'Cerylidae', 'Pomatomus saltatrix', 'Argyrosomus hololepidotus', 'Atractoscion aequidens', 'Lichia amia']"
Atherina hepsetus,['Scorpaena porcus']
Atherinomorus lacunosus,"['unidentified herons', 'jacks', 'seagulls', 'Hydroprogne tschegrava', 'tunas', 'unidentified shark', 'Plectropomus leopardus', 'gannets']"
Atherinomorus stipes,"['Lutjanus jocu', 'Tarpon atlanticus', 'Sphyraena barracuda']"
Atherinomorus vaigiensis,['Sarda australis']
Atherinops affinis,"['Triakis semifasciata', 'Leptocottus armatus', 'Zalophus californianus', 'Paralichthys californicus']"
Atherinopsis californiensis,['Triakis semifasciata']
Atherinosoma elongata,['Phalacrocorax sulcirostris']
Atrophacanthus japonicus,"['Thunnus albacares', 'Thunnus obesus']"
Auchenoceros punctatus,"['Squalus acanthias', 'Gadus macrocephalus']"
Aulopus filamentosus,"['Alepisaurus sp.', 'Thunnus albacares']"
Aulorhynchus flavidus,['Sebastes entomelas']
Aulostomus chinensis,['Saurida gracilis']
Aulostomus maculatus,"['Lutjanus apodus', 'Lutjanus jocu', 'Epinephelus guttatus', 'Mycteroperca venenosa', 'Cephalopholis fulva']"
Australoheros facetus,['Lota lota']
Austroglossus microlepis,"['Merluccius capensis', 'Arctocephalus pusillus pusillus']"
Austroglossus pectoralis,"['Merluccius capensis', 'Arctocephalus pusillus pusillus']"
Auxis rochei,"['Alepisaurus  sp.', 'Coryphaena hippurus', 'Stenella sp.', 'Istiophorus platypterus', 'Makaira indica', 'Makaira nigricans', 'Tetrapturus albidus', 'Tetrapturus audax', 'Alopias vulpinus', 'Acanthocybium solandri', 'Euthynnus affinis', 'Euthynnus alletteratus', 'Katsuwonus pelamis', 'Thunnus alalunga', 'Thunnus albacares', 'Thunnus obesus', 'Thunnus thynnus thynnus', 'Sphyraena sp.', 'swordfish']"
