,Speed_Measurements
76,https://www.fishbase.de/Physiology/SpeedList.php?ID=915&GenusName=Sphyrna&SpeciesName=tiburo
77,https://www.fishbase.de/Physiology/SpeedList.php?ID=1355&GenusName=Spinachia&SpeciesName=spinachia
78,https://www.fishbase.de/Physiology/SpeedList.php?ID=1357&GenusName=Sprattus&SpeciesName=sprattus
79,https://www.fishbase.de/Physiology/SpeedList.php?ID=10105&GenusName=Tetraodon&SpeciesName=schoutedeni
80,https://www.fishbase.de/Physiology/SpeedList.php?ID=143&GenusName=Thunnus&SpeciesName=albacares
81,https://www.fishbase.de/Physiology/SpeedList.php?ID=146&GenusName=Thunnus&SpeciesName=obesus
82,https://www.fishbase.de/Physiology/SpeedList.php?ID=147&GenusName=Thunnus&SpeciesName=thynnus
83,https://www.fishbase.de/Physiology/SpeedList.php?ID=1278&GenusName=Trachurus&SpeciesName=mediterraneus
84,https://www.fishbase.de/Physiology/SpeedList.php?ID=368&GenusName=Trachurus&SpeciesName=symmetricus
85,https://www.fishbase.de/Physiology/SpeedList.php?ID=2543&GenusName=Triakis&SpeciesName=semifasciata
86,https://www.fishbase.de/Physiology/SpeedList.php?ID=1367&GenusName=Trisopterus&SpeciesName=luscus
87,https://www.fishbase.de/Physiology/SpeedList.php?ID=226&GenusName=Xiphias&SpeciesName=gladius
88,https://www.fishbase.de/Physiology/SpeedList.php?ID=1370&GenusName=Zeus&SpeciesName=faber
