,Genetics_Records
138,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=49469&GenusName=Aphanius&SpeciesName=sophiae
139,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=3064&GenusName=Aphredoderus&SpeciesName=sayanus
140,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=11884&GenusName=Aphyolebias&SpeciesName=peruensis
141,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=9707&GenusName=Aphyosemion&SpeciesName=ahli
142,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=8770&GenusName=Aphyosemion&SpeciesName=australe
143,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=9714&GenusName=Aphyosemion&SpeciesName=bivittatum
144,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=9716&GenusName=Aphyosemion&SpeciesName=bualanum
145,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=9718&GenusName=Aphyosemion&SpeciesName=calliurum
146,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=9719&GenusName=Aphyosemion&SpeciesName=cameronense
147,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=9723&GenusName=Aphyosemion&SpeciesName=celiae
148,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=9724&GenusName=Aphyosemion&SpeciesName=christyi
149,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=9728&GenusName=Aphyosemion&SpeciesName=cognatum
150,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=9729&GenusName=Aphyosemion&SpeciesName=congicum
151,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=9731&GenusName=Aphyosemion&SpeciesName=elegans
152,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=9734&GenusName=Aphyosemion&SpeciesName=exiguum
153,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=9737&GenusName=Aphyosemion&SpeciesName=franzwerneri
154,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=9750&GenusName=Aphyosemion&SpeciesName=labarrei
155,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=9754&GenusName=Aphyosemion&SpeciesName=louessense
156,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=9755&GenusName=Aphyosemion&SpeciesName=lujae
157,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=9775&GenusName=Aphyosemion&SpeciesName=ogoense
158,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=26703&GenusName=Apistogramma&SpeciesName=agassizii
159,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=11138&GenusName=Apistogramma&SpeciesName=borellii
160,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=12282&GenusName=Apistogramma&SpeciesName=cacatuoides
161,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=46668&GenusName=Apistogramma&SpeciesName=ortmanni
162,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=12286&GenusName=Apistogramma&SpeciesName=pertensis
163,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=2465&GenusName=Aplocheilichthys&SpeciesName=spilauchen
164,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=55289&GenusName=Aplocheilus&SpeciesName=blockii
165,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=10939&GenusName=Aplocheilus&SpeciesName=dayi
166,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=49483&GenusName=Aplocheilus&SpeciesName=kirchmayeri
167,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=4690&GenusName=Aplocheilus&SpeciesName=lineatus
168,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=4756&GenusName=Aplocheilus&SpeciesName=panchax
169,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=25301&GenusName=Aplocheilus&SpeciesName=werneri
170,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=3577&GenusName=Aplodinotus&SpeciesName=grunniens
171,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=13535&GenusName=Apocryptes&SpeciesName=bato
172,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=3522&GenusName=Apogon&SpeciesName=binotatus
173,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=3526&GenusName=Apogon&SpeciesName=maculatus
174,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=3530&GenusName=Apogon&SpeciesName=pseudomaculatus
175,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=12220&GenusName=Apteronotus&SpeciesName=albifrons
176,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=2076&GenusName=Arapaima&SpeciesName=gigas
177,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=9742&GenusName=Archiaphyosemion&SpeciesName=guineense
178,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=26765&GenusName=Archocentrus&SpeciesName=centrarchus
179,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=3362&GenusName=Archoplites&SpeciesName=interruptus
180,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=441&GenusName=Archosargus&SpeciesName=probatocephalus
181,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=2700&GenusName=Argentina&SpeciesName=silus
182,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=947&GenusName=Ariopsis&SpeciesName=felis
183,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=8234&GenusName=Ariosoma&SpeciesName=anago
184,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=7856&GenusName=Ariosoma&SpeciesName=anagoides
185,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=5247&GenusName=Arnoldichthys&SpeciesName=spilopterus
186,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=25413&GenusName=Arothron&SpeciesName=diadematus
187,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=5425&GenusName=Arothron&SpeciesName=hispidus
188,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=7188&GenusName=Arothron&SpeciesName=immaculatus
189,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=50083&GenusName=Arothron&SpeciesName=leopardus
190,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=6400&GenusName=Arothron&SpeciesName=nigropunctatus
191,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=6594&GenusName=Arothron&SpeciesName=reticularis
192,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=7065&GenusName=Artedidraco&SpeciesName=mirus
193,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=7066&GenusName=Artedidraco&SpeciesName=orianae
194,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=7067&GenusName=Artedidraco&SpeciesName=shackletoni
195,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=4046&GenusName=Artedius&SpeciesName=fenestralis
196,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=4048&GenusName=Artedius&SpeciesName=lateralis
197,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=46253&GenusName=Aspidoras&SpeciesName=fuscoguttatus
198,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=48054&GenusName=Asprocottus&SpeciesName=platycephalus
199,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=26749&GenusName=Astatheros&SpeciesName=macracanthus
200,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=4688&GenusName=Astatoreochromis&SpeciesName=alluaudi
201,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=6704&GenusName=Astatotilapia&SpeciesName=burtoni
202,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=6707&GenusName=Astatotilapia&SpeciesName=calliptera
203,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=6738&GenusName=Astatotilapia&SpeciesName=flaviijosephi
