,Relationship_Between_Fish_Brain_Weights_And_Body_Weights
102,https://www.fishbase.de/physiology/BrainsDataList.php?ID=7811&GenusName=Apolemichthys&SpeciesName=arcuatus&fc=460
103,https://www.fishbase.de/physiology/BrainsDataList.php?ID=10940&GenusName=Apolemichthys&SpeciesName=xanthotis&fc=460
104,https://www.fishbase.de/physiology/BrainsDataList.php?ID=14996&GenusName=Aporops&SpeciesName=bilinearis&fc=289
105,https://www.fishbase.de/physiology/BrainsDataList.php?ID=84&GenusName=Aprion&SpeciesName=virescens&fc=323
106,https://www.fishbase.de/physiology/BrainsDataList.php?ID=783&GenusName=Apristurus&SpeciesName=sinensis&fc=703
107,https://www.fishbase.de/physiology/BrainsDataList.php?ID=12220&GenusName=Apteronotus&SpeciesName=albifrons&fc=545
108,https://www.fishbase.de/physiology/BrainsDataList.php?ID=15943&GenusName=Apteronotus&SpeciesName=leptorhynchus&fc=545
109,https://www.fishbase.de/physiology/BrainsDataList.php?ID=15384&GenusName=Aptychotrema&SpeciesName=rostrata&fc=712
110,https://www.fishbase.de/physiology/BrainsDataList.php?ID=2076&GenusName=Arapaima&SpeciesName=gigas&fc=628
111,https://www.fishbase.de/physiology/BrainsDataList.php?ID=6977&GenusName=Arctozenus&SpeciesName=risso&fc=169
112,https://www.fishbase.de/physiology/BrainsDataList.php?ID=52434&GenusName=Arenigobius&SpeciesName=frenatus&fc=405
113,https://www.fishbase.de/physiology/BrainsDataList.php?ID=2700&GenusName=Argentina&SpeciesName=silus&fc=83
114,https://www.fishbase.de/physiology/BrainsDataList.php?ID=20&GenusName=Argentina&SpeciesName=sphyraena&fc=83
115,https://www.fishbase.de/physiology/BrainsDataList.php?ID=130&GenusName=Argyropelecus&SpeciesName=aculeatus&fc=89
116,https://www.fishbase.de/physiology/BrainsDataList.php?ID=11549&GenusName=Argyropelecus&SpeciesName=lychnus&fc=89
117,https://www.fishbase.de/physiology/BrainsDataList.php?ID=5097&GenusName=Argyropelecus&SpeciesName=olfersii&fc=89
118,https://www.fishbase.de/physiology/BrainsDataList.php?ID=4541&GenusName=Argyrops&SpeciesName=filamentosus&fc=330
119,https://www.fishbase.de/physiology/BrainsDataList.php?ID=442&GenusName=Argyrops&SpeciesName=spinifer&fc=330
120,https://www.fishbase.de/physiology/BrainsDataList.php?ID=1744&GenusName=Ariosoma&SpeciesName=balearicum&fc=62
121,https://www.fishbase.de/physiology/BrainsDataList.php?ID=11577&GenusName=Aristostomias&SpeciesName=scintillans&fc=91
122,https://www.fishbase.de/physiology/BrainsDataList.php?ID=5425&GenusName=Arothron&SpeciesName=hispidus&fc=448
123,https://www.fishbase.de/physiology/BrainsDataList.php?ID=7188&GenusName=Arothron&SpeciesName=immaculatus&fc=448
124,https://www.fishbase.de/physiology/BrainsDataList.php?ID=6401&GenusName=Arothron&SpeciesName=meleagris&fc=448
125,https://www.fishbase.de/physiology/BrainsDataList.php?ID=6400&GenusName=Arothron&SpeciesName=nigropunctatus&fc=448
126,https://www.fishbase.de/physiology/BrainsDataList.php?ID=6526&GenusName=Arothron&SpeciesName=stellatus&fc=448
127,https://www.fishbase.de/physiology/BrainsDataList.php?ID=4043&GenusName=Artediellus&SpeciesName=uncinatus&fc=277
128,https://www.fishbase.de/physiology/BrainsDataList.php?ID=4157&GenusName=Aspidophoroides&SpeciesName=monopterygius&fc=283
