name,Brain weight (mg),SL (cm),TL (cm),speed,Oxygen Consumption at 20°C,Weight,predators
Acentronura breviperula,,,,,,,
Acentronura gracilissima,,,,,,,
Acentronura tentaculata,,,,,,,
Acestrorhynchus microlepis,,,,,,,
Acestrorhynchus pantaneiro,,,,,,,
Acheilognathus asmussii,,,,,,,
Acheilognathus coreanus,,,,,,,
Acheilognathus cyanostigma,,,,,,,
Acheilognathus intermedia,,,,,,,
Acheilognathus longipinnis,,,,,,,
Acheilognathus tabira,,,,,,,
Achiroides leucorhynchos,,,,,,,
Achiroides melanorhynchus,,,,,,,
Achiropsetta tricholepis,,,,,,,
Achirus achirus,,,,,,,['Carcharhinus porosus']
Achirus declivis,,,,,,,
Achirus klunzingeri,,,,,,,
Achirus lineatus,,,,,,,
Achirus mazatlanus,,,,,,,
Achirus mucuri,,,,,,,
Achirus scutum,,,,,,,
Achoerodus gouldii,,,,,,,
Achoerodus viridis,,,,,,,
Achondrostoma occidentale,,,,,,,
Achondrostoma oligolepis,,,,,,,
Acipenser baerii,,,,,,,
Acipenser brevirostrum,,,,,,,
Acipenser dabryanus,,,,,,,
Acipenser fulvescens,,,,,442.0,,"['Ichthyomyzon unicuspis', 'Petromyzon marinus']"
Acipenser gueldenstaedtii,,,,,452.5,,
Acipenser medirostris,,,,,,,
Acipenser mikadoi,,,,,,,
Acipenser naccarii,,,,,,,
Acipenser nudiventris,,,,,148.3,,
Acipenser oxyrinchus,,,,,,,['Ichthyomyzon unicuspis']
Acipenser persicus,,,,,,,
Acipenser ruthenus,,,,,178.5,,
Acipenser schrenckii,,,,,,,
Acipenser sinensis,,,,,,,
Acipenser stellatus,,,,,589.5818181818181,,
Acipenser sturio,,,,,,,
Acipenser transmontanus,650.0,,,,149.12,3520.0,"['Catostomus macrocheilus', 'Cottus asper', 'Ptychocheilus oregonensis', 'Cyrpinus carpio', 'Entosphenus tridentatus']"
Acnodon normani,,,,,,,
Acreichthys radiatus,,,,,,,
Acreichthys tomentosus,,,,,,,
Acrocheilus alutaceus,,,,,,,"['Micropterus salmoides', 'Ptychocheilus oregonensis']"
Acrochordonichthys gyrinus,,,,,,,
Acrochordonichthys septentrionalis,,,,,,,
Acropoma japonicum,,,,,,,
Acropoma profundum,,,,,,,
Acroteriobatus annulatus,2230.0,,,,,350.0,['Crocodylus niloticus']
Acroteriobatus blochii,,,,,,,
Acroteriobatus leucospilus,,,,,,,
Acroteriobatus ocellatus,,,,,,,
Acroteriobatus omanensis,,,,,,,
Acroteriobatus salalah,,,,,,,
Acroteriobatus variegatus,,,,,,,
Acroteriobatus zanzibarensis,,,,,,,
Aculeola nigra,,,,,,,
Acyrtops amplicirrus,,,,,,,
Acyrtops beryllinus,,,,,,,
Acyrtus artius,,,,,,,
Acyrtus lanthanum,,,,,,,
Acyrtus rubiginosus,,,,,,,
Adelotremus deloachi,,,,,,,
Adrianichthys kruyti,,,,,,,
Adrianichthys oophorus,,,,,,,
Adrianichthys poptae,,,,,,,
Adrianichthys roseni,,,,,,,
Adventor elongatus,,,,,,,
Aeoliscus punctulatus,,,,,,,
Aeoliscus strigatus,20.0,,,,,1.9,
Aequidens metae,,,,,,,
Aequidens pallidus,,,,,,,
Aequidens tetramerus,,,,,,,
Aequidens viridis,,,,,,,
Aesopia cornuta,,,,,,,
Aetapcus maculatus,,,,,,,
Aethaloperca rogaa,,,,,,,
Aethotaxis mitopteryx mitopteryx,,,,,,,
Aetobatus flagellum,,,,,,,
Aetobatus laticeps,,,,,,,
Aetobatus narinari,22400.0,,,,,12000.0,['Carcharhinus albimarginatus']
Aetobatus narutobiei,,,,,,,
Aetobatus ocellatus,,,,,,,
Aetomylaeus asperrimus,,,,,,,
Aetomylaeus bovinus,,,,,,,
Aetomylaeus caeruleofasciatus,,,,,,,
Aetomylaeus maculatus,,,,,,,
Aetomylaeus milvus,,,,,,,
Aetomylaeus nichofii,,,,,,,
Aetomylaeus vespertilio,,,,,,,
Afronandus sheljuzhkoi,,,,,,,
Afurcagobius suppositus,,,,,,,"['Phalacrocorax melanoleucos', 'Phalacrocorax sulcirostris', 'Phalacrocorax varius', 'Platycephalus speculator']"
Afurcagobius tamarensis,28.5,,11.0,,,16.7,['Pseudaphritis urvillii']
Agamyxis albomaculatus,,,,,,,
Agamyxis pectinifrons,,,,,,,
Ageneiosus inermis,,,,,,,
Ageneiosus marmoratus,,,,,,,
Ageneiosus militaris,,,,,,,
Agonomalus mozinoi,,,,,,,
Agonopsis chiloensis,,,,,,,"['Cottoperca gobio', 'Phalacrocorax atriceps', 'Pinguipes chilensis', 'Schroederichthys bivius']"
Agonopsis sterletus,,,,,,,
Agonopsis vulsa,,,,,,,
Agonostomus catalai,,,,,,,
Agonostomus monticola,,,,,,,
Agonostomus telfairii,,,,,,,
Agonus cataphractus,42.5,9.4,12.0,,,8.0,"['Myoxocephalus scorpius', 'Gadus morhua', 'Chelidonichthys gurnardus']"
Agosia chrysogaster,,,,,,,
Agrostichthys parkeri,,,,,,,
Ahlia egmontis,,,,,,,
Ailia coila,,,,,,,
Ailiichthys punctata,,,,,,,
Aioliops brachypterus,,,,,,,
Aioliops megastigma,,,,,,,
Aioliops novaeguineae,,,,,,,
Aioliops tetrophthalmus,,,,,,,
Akihito futuna,,,,,,,
Akihito vanuatu,,,,,,,
Akrokolioplax bicornis,,,,,,,
Akysis brachybarbatus,,,,,,,
Akysis pictus,,,,,,,
Akysis prashadi,,,,,,,
Alabes brevis,,,,,,,
Alabes dorsalis,,,,,,,
Alabes elongata,,,,,,,
Alabes gibbosa,,,,,,,
Alabes hoesei,,,,,,,
Alabes obtusirostris,,,,,,,
Alabes occidentalis,,,,,,,
Alabes parvula,,,,,,,
Alabes scotti,,,,,,,
Albatrossia pectoralis,,,,,,,"['Anoplopoma fimbria', 'Reinhardtius hippoglossoides']"
Albula argentea,,,,,,,
Albula esuncula,,,,,,,
Albula gilberti,,,,,,,
Albula glossodonta,,,,,,,
Albula goreensis,,,,,,,
Albula koreana,,,,,,,
Albula nemoptera,,,,,,,
Albula oligolepis,,,,,,,
Albula pacifica,,,,,,,
Albula vulpes,,,,,276.0,,
Albulichthys albuloides,,,,,,,
Alburnoides bipunctatus,,,,,,,
Alburnoides coadi,,,,,,,
Alburnoides devolli,,,,,,,
Alburnoides economoui,,,,,,,
Alburnoides eichwaldii,,,,,,,
Alburnoides emineae,,,,,,,
Alburnoides fangfangae,,,,,,,
Alburnoides fasciatus,,,,,,,
Alburnoides manyasensis,,,,,,,
Alburnoides oblongus,,,,,,,
Alburnoides parhami,,,,,,,
Alburnoides recepi,,,,,,,
Alburnoides samiii,,,,,,,
Alburnoides tabarestanensis,,,,,,,
Alburnoides taeniatus,,,,,,,
Alburnoides thessalicus,,,,,,,
Alburnoides velioglui,,,,,,,
Alburnus adanensis,,,,,,,
Alburnus akili,,,,,,,
Alburnus albidus,,,,,,,
Alburnus alburnus,,,,0.5,292.7,,"['Alosa macedonica', 'Lota lota', 'Sander lucioperca', 'Silurus glanis']"
Alburnus amirkabiri,,,,,,,
Alburnus attalus,,,,,,,
Alburnus baliki,,,,,,,
Alburnus battalgilae,,,,,,,
Alburnus caeruleus,,,,,,,
Alburnus carinatus,,,,,,,
Alburnus chalcoides,,,,,,,
Alburnus demiri,,,,,,,
Alburnus derjugini,,,,,,,
Alburnus escherichii,,,,,,,
Alburnus filippii,,,,,,,
Alburnus heckeli,,,,,,,
Alburnus hohenackeri,,,,,,,['Esox lucius']
Alburnus istanbulensis,,,,,,,
Alburnus kotschyi,,,,,,,
Alburnus mandrensis,,,,,,,
Alburnus mento,,,,,,,
Alburnus mentoides,,,,,,,
Alburnus mossulensis,,,,,,,
Alburnus nasreddini,,,,,,,
Alburnus nicaeensis,,,,,,,
Alburnus orontis,,,,,,,
Alburnus schischkovi,,,,,,,
Alburnus sellal,,,,,,,
Alburnus tarichi,,,,,,,
Alburnus vistonicus,,,,,,,
Alcolapia alcalica,,,,,,,
Alcolapia grahami,,,,,,,
Alcolapia latilabris,,,,,,,
Alcolapia ndalalani,,,,,,,
Aldrichetta forsteri,,,,,,,"['Argyrosomus hololepidotus', 'Arripis trutta', 'Phalacrocorax carbo', 'Phalacrocorax sulcirostris']"
Aldrovandia affinis,,,,,,,
Aldrovandia phalacra,,,,,,,
Alectis alexandrina,,,,,,,
Alectis ciliaris,,,,,,,['Acanthocybium solandri']
Alectis indica,,,,,,,
Alectrias alectrolophus,,,,,,,
Alectrias benjamini,,,,,,,
Alectrias cirratus,,,,,,,
Alectrias gallinus,,,,,,,
Alectrias markevichi,,,,,,,
Alectrias mutsuensis,,,,,,,
Alectridium aurantiacum,,,,,,,
Alepes apercna,,,,,,,
Alepes djedaba,504.0,19.0,22.0,,,120.0,['Chrysaora melanaster']
Alepes kleinii,,,,,,,
Alepes melanoptera,,,,,,,
Alepes vari,,,,,,,
Alepisaurus brevirostris,,,,,,,"['Macronectes spp.', 'Thunnus albacares']"
Alepisaurus ferox,,,,,,,"['Thunnus albacares', 'Alepisaurus ferox', 'unidentified', 'Gadus macrocephalus', 'Thunnus obesus', 'Xiphias gladius']"
Alepocephalus agassizii,,,,,,,
Alepocephalus antipodianus,,,,,,,
Alepocephalus australis,,,,,,,
Alepocephalus bairdii,650.24,49.2,54.6,,,1515.6,
Alepocephalus bicolor,,,,,,,
Alepocephalus longiceps,,,,,,,
Alepocephalus longirostris,,,,,,,
Alepocephalus owstoni,,,,,,,
Alepocephalus productus,,,,,,,
