Body weight (W; g),Brain weight (B; mg),Encephalization coefficients,Encephalization coefficients 2,SL (cm),TL (cm),Ref,name
470.0,527.0,1.12,,,,,Balistapus undulatus
584.5,771.0,1.8635,,31.6,35.8,117297.0,Balistes capriscus
872.5,917.0,1.0550000000000002,,,,,Balistoides conspicillum
69.0,179.70909090909092,3.6463636363636365,,,,117407.0,Bathybates fasciatus
58.333333333333336,210.83333333333334,3.608333333333333,,,,117407.0,Bathybates ferox
21.4,111.0,5.2,,,,118717.0,Bathybates leo
3.9555555555555557,16.01111111111111,8.32,,,12.0,11344.0,Bathygobius cocosensis
2.6890909090909094,14.381818181818181,5.882727272727272,,,6.333333333333333,11344.0,Bathygobius cyclopterus
8.3,30.880000000000003,3.818,,,8.5,11344.0,Bathygobius fuscus
24.4,35.0,1.43,,,12.0,11344.0,Bathygobius krefftii
6.863333333333333,27.0,3.9566666666666666,,,6.6,11344.0,Bathygobius niger
13.600000000000001,28.35,2.2725,,,12.0,11344.0,Bathygobius soporator
17200.0,4680.0,0.272,,,,118717.0,Bathyraja spinicauda
39000.0,30340.0,0.778,,,,118717.0,Bathytoshia brevicaudata
5660.0,18270.0,3.23,,,,118717.0,Bathytoshia centroura
21000.0,29470.0,1.4,,,,118717.0,Bathytoshia lata
287.2,414.6,1.7079999999999997,,54.575,58.075,,Belone belone
35.577777777777776,154.66666666666666,4.630555555555556,,16.166666666666668,,117547.66666666667,Benthochromis tricoti
691.6666666666666,805.6666666666666,1.3813333333333333,,21.5,26.0,,Beryx decadactylus
257.5,727.5,2.875,,19.0,24.0,,Beryx splendens
1.1,15.5,14.1,,4.2,5.2,,Blenniella chrysospilos
9.0,50.8,5.64,,,,,Blenniella paula
12.0,42.1,3.51,,,8.0,,Blenniella periophthalmus
95.0,220.0,2.32,,,,,Bodianus anthioides
178.5,472.0,2.835,,17.35,20.0,,Bodianus bilunulatus
38.7,234.0,6.05,,,,,Bodianus diana
360.0,636.0,1.77,,,,,Bodianus loxozonus
460.0,821.0,1.79,,,,,Bodianus perditio
36.699999999999996,36.56666666666667,1.0243333333333333,,,17.366666666666664,11344.0,Boleophthalmus pectinirostris
122.0,432.5,3.7249999999999996,,20.200000000000003,23.4,,Boops boops
47.5,209.26,4.4175,,,,,Boreogadus saida
31.179999999999996,32.3,1.9895999999999998,,,13.95,11344.0,Bostrychus sinensis
13.7,385.08,28.1,,,,117394.0,Boulengeromyrus knoepffleri
690.0,1390.0,2.01,,,,117392.0,Brachaelurus waddi
1.18,7.733333333333333,7.78,,,4.2,11344.0,Brachygobius sua
11.5,90.0,7.85,,,,36657.0,Brachyhypopomus brevirostris
